Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
MAOB;06/02/2020;22433502;12154290;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;tombamento de garrafas na sa? para Enc;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;06/02/2020;22433504;12154292;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-05;Travamento do transporte G28-36;TRANSPORTE ECX-PL;115;LINHA 02 - VIDRO
MAOB;06/02/2020;22433520;12154317;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-01;ESITEIRA COM A EMENDA SOLTA;CANTRONIC 01 - K709325;120;LINHA 03 - LATA
MAOB;05/02/2020;22433522;12154319;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;FALHA NA PORTA DE SEGURAN?;PALETIZADORA - KR63754;115;LINHA 02 - VIDRO
MAOB;06/02/2020;22433523;12154330;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;PUSH NÏ ESTAVA  EXPULSANDO;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;06/02/2020;22433525;12154333;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-18-02;ESTEIRA AZULA DE SA?A PRESA;EMPACOTADORA II - KR96 - I92;115;LINHA 03 - LATA
MAOB;06/02/2020;22433529;12154334;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-04-01-16;Bomba com vazamento de fermento;SISTEMA CROSS FLOW;120;PROCESSO
MAOB;07/02/2020;22433567;12154510;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-04;Falha no acumulo de caixa;TRANSPORTE MAGAZINE CXS - ECX;120;LINHA 02 - VIDRO
MAOB;07/02/2020;22433570;12154513;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-26-01;FAlha na transferencia de rolha;AMARRA?O;115;LINHA 02 - VIDRO
MAOB;06/02/2020;22433592;12154467;ZM01;ENCE CNPA CAPC MOME MatC NOLQ;2015-20-21-02-27-02;SENSOR QUEBRADO DO TRP DE PALETE;TRANSPORTE DE PALETES;110;LINHA 03 - LATA
MAOB;05/02/2020;22433622;12154441;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;DESARME INVERSOR 2119-M101;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
MAOB;06/02/2020;22433629;12154445;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;CRASH NA RECRAVADORA.;RECRAVADORA DE LATAS;115;LINHA 01 - LATA
MAOB;08/02/2020;22433635;12154613;ZM01;ENCE CAPC MOME MatC NOLQ;2015-20-20-02-18-02;FALHA NO SISTEMA DE AQUECIMENTO DO FORNO;EMPACOTADORA II - 28NS-400-95;110;LINHA 04 - VIDRO
MAOB;05/02/2020;22433638;12154614;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;REVIS?O DE VALVULA DE ENCHIMENTO E TREI;ENCHEDORA LATAS;110;LINHA 01 - LATA
MAOB;06/02/2020;22433810;12154483;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-17-01;DISPOSITIVO DA PORTA SEGURAN? NÏ TRAVA;ENVOLVEDORA I - K824-2PI;120;LINHA 03 - LATA
DISM PROG;07/02/2020;22433819;12154580;ZM01;ENCE CONF IMPR CAPC NOLQ SCDM;2015-20-20-02-05-02;correia do disparador linear danificada.;INSPETOR LINATRONIC - K735-H46;115;LINHA 04 - VIDRO
MAOB;06/02/2020;22433839;12154507;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-02;ENROSCO DE LATAS NO TRECHO 49/50;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
MAOB;07/02/2020;22433953;12154569;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-22;VTPG190 - Esteira fora de posi?. - Sol;TRANSPORTE PZ-RT II;115;LINHA 02 - VIDRO
MAOB;07/02/2020;22433954;12154590;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-23-01;VARL023 - Enrosco de rolha na capsulador;ARROLHADOR;115;LINHA 02 - VIDRO
MAOB;07/02/2020;22433996;12154547;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-03;"FALTA DE INSUMOS ""ADITIVO"".";DATADOR - TAXOMATIC 03;110;LINHA 03 - LATA
MAOB;08/02/2020;22433999;12154600;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA DE POWERLINK;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;08/02/2020;22434041;12154602;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA NAS VLVULAS 6 E 181;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;07/02/2020;22434042;12154603;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;FALHA NO COMPRIMENTO DE CAIXAS.;EMPACOTADORA - KR96560;110;LINHA 02 - VIDRO
MAOB;05/02/2020;22434082;12154616;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-16;SISTEMA CROSSFLOW APRESENTANDO FALTA DE;SISTEMA CROSS FLOW;120;PROCESSO
MAOB;07/02/2020;22434089;12154620;ZM01;ENCE CONF CAPC NOLQ;2015-20-23-01-51;QUEBRA DA GARRA DE TRANSFER?CIA DE GARR;SOPRADORA;120;OUTROS
MAOB;07/02/2020;22434394;12155002;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-02-09-01;FALHA NO ARROLHADOR DE TAMPAS;ENCHEDORA DE GARRAFAS - K136-767;115;LINHA 04 - VIDRO
MAOB;08/02/2020;22434420;12154667;ZM01;ENCE CAPC NOLQ SCDM;2015-20-20-02-01-01;PROTE?O COM BASE QUEBRADA DA DESPALETIZ;DESPALETIZADORA - KR63-G59;110;LINHA 04 - VIDRO
MAOB;08/02/2020;22434422;12154668;ZM01;ENCE CAPC NOLQ SCDM;2015-20-20-02-01-01;PROTE?O QUEBRADA DA DESPALETIZADORA;DESPALETIZADORA - KR63-G59;120;LINHA 04 - VIDRO
MAOB;07/02/2020;22434469;12155049;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-02;ENROSCO DE LATAS NO TRECHO 49/50;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
MAOB;08/02/2020;22434470;12155121;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;Falha de enchimento na v?ula 43;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;07/02/2020;22434471;12155122;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;quebra do pino de fixa? do ima arrol 8;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;02/02/2020;22434477;12155144;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-03;AJUSTE DO CORRENTÏ;LAVAGEM DE GARRAFAS;110;LINHA 02 - VIDRO
MAOB;06/02/2020;22434483;12155084;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05-01;AJUSTE NA INSPE?O DE BOCAL;CANTRONIC 01 - CHECKMAT LATAS;120;LINHA 01 - LATA
MAOB;06/02/2020;22434484;12155085;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05-02;AJUSTE NA INSPE?O DE BOCAL CAN II;CANTRONIC 02 - CHECKMAT LATAS;120;LINHA 01 - LATA
MAOB;07/02/2020;22434505;12155036;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-05-01;substituir rolos de apoio;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;08/02/2020;22434518;12155172;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-01;ERRO NA CONTAGEM.;CHECKMAT ENCHEDORA - K731CH5;110;LINHA 03 - LATA
MAOB;07/02/2020;22434561;12155115;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;FALHA REDE ASI I1201-F101;INSPETOR LINATRONIC - K735-H45;115;LINHA 04 - VIDRO
MAOB;08/02/2020;22434677;12155155;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-24-01;FALHA NO SENSOR DE LIMITE BAIXO.;MAGAZINE DE TAMPAS - K826-2B2;115;LINHA 03 - LATA
DISM PROG;08/02/2020;22434679;12155157;ZM01;ENCE CNPA IMPR CAPC MOME MatC NOLQ;2015-20-21-02-09-01;VALVULA (128) TRAVADA EM N?EL BAIXO.;ENCHEDORA DE LATAS - K232-139;120;LINHA 03 - LATA
MAOB;07/02/2020;22434711;12155180;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;TOMBAMENTO DE GARRAFAS NO TRP DE SAIDA;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;09/02/2020;22434712;12155181;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA DE ENCHIMENTO NAS VALV 105 E 181;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;08/02/2020;22434713;12155182;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-01;DESCARRILHAMENTO DA ESTEIRA TRP-G26-07;TRANSPORTE DPL-DCX;120;LINHA 02 - VIDRO
MAOB;08/02/2020;22434760;12155175;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-23-01;TOMBAMENTO DE LATAS NA SAIDA;RECRAVADORA - K826-2B3;115;LINHA 03 - LATA
MAOB;07/02/2020;22434785;12155149;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;tombamento de garrafas na sa? da Top;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;08/02/2020;22434789;12155271;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-23-01;Ajustes dos parametros de recrava?;RECRAVADORA - K826-2B3;110;LINHA 03 - LATA
MAOB;08/02/2020;22434792;12155277;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-12-01;LUBRIFICA?O DOS ROLAMENTOS;ROTULADORA I - K407-509;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22434793;12155278;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-12-02;LUBRIFICA?O DOS ROLAMENTOS;ROTULADORA II - K407-510;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22434794;12155279;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;LUBRIFICA?O DAS CORREIAS;INSPETOR LINATRONIC - K735-H45;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22434795;12155320;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-02;LUBRIFICA?O DAS CORREIAS;INSPETOR LINATRONIC - K735-H46;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22434796;12155321;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-01;LUBRIFICA?O DAS CORREIAS;INSPETOR LINATRONIC - K774-A32;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22434797;12155322;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-05;LUBRIFICA?O DAS CORREIAS;INSPETOR LINATRONIC - K774-A33;120;LINHA 04 - VIDRO
MAOB;09/02/2020;22434817;12155287;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-01-01;FALHA NO SENSORIAMENTO 8211;DESPALETIZADORA LATAS - KR74 - 635;115;LINHA 03 - LATA
MAOB;09/02/2020;22434821;12155184;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-05-01;FALHA NO DISPARADOR 3;INSPETOR TOPTRONIC - K719610;110;LINHA 02 - VIDRO
MAOB;09/02/2020;22434904;12155348;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04;SUPERVIS?IO TRAVADO SEM COMUNICA?O;MATURACAO;120;PROCESSO
MAOB;09/02/2020;22434905;12155349;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-04-02;TRANSMISSOR N?EL CARA DE MOLHA TRAVAD;MOINHO DE ROLOS 02;120;PROCESSO
MAOB;09/02/2020;22435060;12155328;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-01;FALTA EIXO E ROLOS DE APOIO;TRANSPORTE DPL-DCX;110;LINHA 02 - VIDRO
MAOB;09/02/2020;22435061;12155360;ZM01;ENCE CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA NA VALVULA RESERVA;ENCHEDORA LATAS;110;LINHA 01 - LATA
MAOB;09/02/2020;22435080;12155354;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-17-02;FILME SE ROMPENDO.;ENVOLVEDORA II - K824-2PK;110;LINHA 03 - LATA
MAOB;10/02/2020;22435101;12155395;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01-11-01;CENTRIFUGA PERDENDO ROTA?O AO INICIAR;FILTRA?O;120;PROCESSO
MAOB;10/02/2020;22435102;12155396;ZM01;ENCE CAPC MOME MatC NOLQ;2015-20-20-01-03-01;FALHA NA DOSAGEM DE SODA;LAVADORA DE GARRAFAS - K682379;110;LINHA 02 - VIDRO
MAOB;09/02/2020;22435125;12155427;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-03;Tombamento de latas;TRANSPORTE ECH-PZ;115;LINHA 03 - LATA
MAOB;10/02/2020;22435126;12155428;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-02;Esteira trepidando;PALETIZADOR II - KR63-G57;115;LINHA 03 - LATA
MAOB;10/02/2020;22435161;12155431;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-02-23-01;Falha no motor do transporte de saida da;RECRAVADORA - K826-2B3;115;LINHA 03 - LATA
MAOB;08/02/2020;22435188;12155462;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-12-01;GRF COM NIVEL BAIXO SEM EXPULSAR;ROTULADORA I - K407-509;120;LINHA 04 - VIDRO
MAOB;10/02/2020;22435231;12155482;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-05;TRAVAMENTO DO DIVIDER;TRANSPORTE ECX-PL;110;LINHA 02 - VIDRO
MAOB;10/02/2020;22435232;12155483;ZM01;ENCE CONF CAPC CAPF NOLQ SCDM;2015-00-02-01-03-05-02;FALHA NA DOSAGEM CIDO LTICO / TINA FIL;TANQUE DE CIDO LTICO 02 - BRASSAGEM;120;PROCESSO
MAOB;10/02/2020;22435351;12155459;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;QUEBRA DA CORRENTE DE TRA?O.;TRANSPORTE DE PALETES;115;LINHA 04 - VIDRO
MAOB;10/02/2020;22435353;12155511;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-05;GARRAS DE DOSAGEM VIA 2 EM FALHA.;TRANSPORTE ECX-PL;115;LINHA 04 - VIDRO
MAOB;10/02/2020;22435354;12155513;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;FALHA NO MOTOR TRANSPORTE DE SAIDA.;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;10/02/2020;22435355;12155515;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-05;FALHA NA CONTAGEM DE CAIXAS VIA 2.;TRANSPORTE ECX-PL;115;LINHA 04 - VIDRO
MAOB;10/02/2020;22435356;12155516;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;CRASH'S GRFS NA VELOCIDADE 42000G/H.;INSPETOR LINATRONIC - K735-H45;115;LINHA 04 - VIDRO
MAOB;10/02/2020;22435385;12155684;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-02-11-01;CENTRIFUGA 02 NÏ PARTE RECEITA DE CIP;CARBONATACAO - FILTRACAO;120;PROCESSO
MAOB;08/02/2020;22435386;12155687;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01-04-90;Colocar meio elo do corrent?CORRENTÏ;110;LINHA 02 - VIDRO;
MAOB;10/02/2020;22435387;12155771;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01-04-60;Palete desalinhado na ?a de centraliza;TRANSPORTE DE ROLOS;115;LINHA 02 - VIDRO
MAOB;10/02/2020;22435399;12156375;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-03-18;SENSOR INDUTIVO (FMT18PAN02B702GS) DA PL;TANCAGEM MATURA?O 18;120;PROCESSO
MAOB;11/02/2020;22436141;12156306;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;Realizar ajuste do corrent?LAVADORA DE GARRAFAS - K682379;110;LINHA 02 - VIDRO;
MAOB;11/02/2020;22436222;12155807;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-04;Falha no acumulo de caixa;TRANSPORTE MAGAZINE CXS - ECX;120;LINHA 02 - VIDRO
MAOB;11/02/2020;22436223;12155809;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;Falha no inversor 6011 sobrecarga;PALETIZADORA - KR63754;115;LINHA 02 - VIDRO
MAOB;10/02/2020;22436230;12156403;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-05;caixa travando depois do inspetor;TRANSPORTE ECX-PL;115;LINHA 02 - VIDRO
MAOB;10/02/2020;22436279;12156604;ZM01;ENCE CAPC NOLQ SCDM;2015-20-21-02-23-01;TOMBAMENTO DE LATA NA SAIDA DA RECRAVADO;RECRAVADORA - K826-2B3;115;LINHA 03 - LATA
MAOB;10/02/2020;22436280;12156421;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;Tombamento de garrafas na sa?;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22436300;12156450;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-01;QUEIMA DO FUS?EL;PALETIZADOR I - KR63-G56;115;LINHA 03 - LATA
MAOB;09/02/2020;22436302;12156452;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-02;FALHA NA CENTRAGEM LATERAL;PALETIZADOR II - KR63-G57;115;LINHA 03 - LATA
MAOB;12/02/2020;22436304;12156454;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;Vazamento de ar comprimido;TAXOMATIC II - K084161;120;LINHA 03 - LATA
MAOB;11/02/2020;22436340;12156445;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-02-18-01;PENTE DA ESTEIRA REGINA DANIFICADO.;EMPACOTADORA - KR96-I94;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22436519;12156469;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01;CLIENTE 05 SEM COMUNICA?O COM SERVIDOR;FILTRACAO 01;120;PROCESSO
MAOB;09/02/2020;22436523;12156484;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-51-08;DISJUNTOR DE COMANDO PB-08 DESARMANDO;PAINEL EL?RICO -  CE1.L1-PB08;120;PROCESSO
MAOB;11/02/2020;22436524;12156485;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-06-02;FALHA NO CHECKMAT REJEI?O OCASIONANDO C;CHECKMAT ROTULADORA I - K731V41;120;LINHA 02 - VIDRO
MAOB;11/02/2020;22436525;12156486;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01-01;FALHA NA MESA DIVISORIA;DESPALETIZADORA - KR63755;120;LINHA 02 - VIDRO
MAOB;10/01/2020;22436527;12156489;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-03;travamento de caixas no virador;TRANSPORTE LCX-MAGAZINE CXS;115;LINHA 02 - VIDRO
MAOB;10/02/2020;22436528;12156540;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-07-02;Fuso de ajuste de altura quebrado;CHECKMAT CAIXA CHEIA - K708A14;120;LINHA 02 - VIDRO
DISM PROG;12/02/2020;22436552;12156551;ZM01;ENCE IMPR CAPC NOLQ SCDM;2015-20-20-02-28-05;MULTEDEVAIDER COM OS ROLOS DANIFICADOS G;TRANSPORTE ECX-PL;120;LINHA 04 - VIDRO
MAOB;12/02/2020;22436553;12156553;ZM01;ENCE CAPC MOME MatC NOLQ;2015-20-20-02-03-01;PERFIL DE DESLIZE SOLTO NA ENTRADA DA LA;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
DISM PROG;11/02/2020;22436622;12156533;ZM01;ENCE IMPR CAPC NOLQ SCDM;2015-20-21-01-12-02;SUPORTE> REALIZAR SERVI? DE SOLDA NO SU;SELADORA II;110;LINHA 01 - LATA
MAOB;11/02/2020;22436724;12156658;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-11-01;TOMBAMENTO DE GARRAFAS NA SA?A INFERIOR;PASTEURIZADOR - K574430;120;LINHA 02 - VIDRO
MAOB;12/02/2020;22436740;12156702;ZM01;ENCE CAPC MatC NOLQ;2015-20-20-02-18-01;SUBSTITUIR FONTE 24V;EMPACOTADORA - KR96-I94;110;LINHA 04 - VIDRO
MAOB;11/02/2020;22436742;12156872;ZM01;ENCE CONF CAPC MOME NOLQ;2015-20-21-01-09-01;repor distanciador da v?ula;ENCHEDORA LATAS;120;LINHA 01 - LATA
MAOB;11/02/2020;22436743;12156874;ZM01;ENCE CNPA CAPC MOME MatC NOLQ;2015-20-20-02-18-01;FALHA SERVO MOTOR 4112;EMPACOTADORA - KR96-I94;115;LINHA 04 - VIDRO
MAOB;12/02/2020;22436875;12157132;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;REVISÏ DA VALVULA 43 DA ENCHEDORA LINHA;ENCHEDORA DE LATAS - K232-139;110;LINHA 03 - LATA
MAOB;12/02/2020;22436877;12157134;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-28-02;ESTEIRA TREPIDANDO: FOI REALIZADO O TENS;TRANSPORTE EPC II-ROBOBOX II;115;LINHA 03 - LATA
MAOB;11/02/2020;22436984;12156935;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;tombamento de garrafas;INSPETOR LINATRONIC - K735-H45;120;LINHA 04 - VIDRO
MAOB;12/02/2020;22436986;12156938;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;FAlha no transporte de entrada.;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;12/02/2020;22437011;12157030;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-03-16;FALHA NA VLVULA DE ENTRADA FMT-16;TANCAGEM MATURA?O 16;120;PROCESSO
MAOB;12/02/2020;22437013;12157032;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-10-02-01;FALHA NA VLVULA DO CONDENSADOR DE VAPOR;PFADUKO;120;PROCESSO
MAOB;12/02/2020;22437014;12157033;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01-02-01;VLVULA DA LINHA RETORNO CIP6 COM FALHA;CIP FILTRA?O;120;PROCESSO
MAOB;13/02/2020;22437015;12157034;ZM01;ENCE CAPC MOME MatC NOLQ;2015-20-20-01-05-01;correia quebrada;INSPETOR TOPTRONIC - K719610;110;LINHA 02 - VIDRO
MAOB;10/02/2020;22437043;12157005;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-02;FALHA NA EXPULSÏ, CRASH NA SA?A.;INSPETOR LINATRONIC - K735-H46;120;LINHA 04 - VIDRO
MAOB;13/02/2020;22437044;12157007;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;FALHA DE POSICIONAMENTO DA MESA ACUM 01;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;13/02/2020;22437045;12157008;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA DE EMBREAGEM TRP ENT DESACOPLADA;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;13/02/2020;22437046;12157009;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12;AJUSTE P? SETUP ENT SELADORAS;SELAGEM;115;LINHA 01 - LATA
MAOB;13/02/2020;22437048;12157042;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;PALETES MAL FORMADOS;PALETIZADOR I;120;LINHA 01 - LATA
MAOB;13/02/2020;22437049;12157043;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-17-01;FALHA NO SENSOR MAGN SISTEMA DE SOLDA;ENVOLVEDORA I;120;LINHA 01 - LATA
MAOB;13/02/2020;22437050;12157044;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;FALHA NA MESA DA SA?A DA ENVOLVEDORA 01;TRANSPORTE DE PALETES;120;LINHA 01 - LATA
MAOB;11/02/2020;22437221;12157018;ZM01;ENCE CONF CAPC CAPF NOLQ SCDM;2015-20-21-02-09-01;VLVULAS DE 169 A 182 SAINDO ESPUMANDO;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;12/02/2020;22437222;12157050;ZM01;ENCE CAPC MOME MatC NOLQ;2015-20-20-02-11-01;Golpe de ariete no fechamento das v?ul;PASTEURIZADOR;120;LINHA 04 - VIDRO
MAOB;09/02/2020;22437354;12157177;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;FALHA NO ACIONAMENTO DA LPADA UV;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;09/02/2020;22437355;12157178;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;FALHA NA LPADA UV;TAXOMATIC II - K084161;120;LINHA 03 - LATA
MAOB;09/02/2020;22437357;12157179;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-03;FALHA NA LPADA UV.;TAXOMATIC III - K084162;120;LINHA 03 - LATA
MAOB;08/02/2020;22437359;12157231;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-02;FALHA NA ENTREGA DE GARRAFAS PARA O TRAN;INSPETOR LINATRONIC - K735-H46;120;LINHA 04 - VIDRO
MAOB;08/02/2020;22437361;12157232;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-03;FALHA NA INSPE?O DE R?ULOS DE CORPO;CHECKMAT ROTULADORA I - K752-E78;120;LINHA 04 - VIDRO
MAOB;11/02/2020;22437363;12157233;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-28-02;FALHA NA MODULA?O DO TRANSPORTE DE SA?;TRANSPORTE EPC II-ROBOBOX II;120;LINHA 03 - LATA
MAOB;12/02/2020;22437399;12157312;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-02-11-01;DESCARRILHAMENTO DE ESTEIRA NA ENTRADA;PASTEURIZADOR;120;LINHA 04 - VIDRO
MAOB;06/02/2020;22437402;12157285;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-02;DESARME DO TRNASPORTE DE GARRAFAS;SEKAMAT 704 - I - K704320;115;LINHA 02 - VIDRO
MAOB;07/02/2020;22437404;12157289;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;FALHA NO RECONHECIMENTO DE TAMPA NO ARRO;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
